year,month,day,t(day),p(day),t(night),p(night),wspeed,wdir
1997,9,4,8,754,5,755,2,С
1997,9,5,12,757,7,758,2,С
1997,9,6,14,759,7,757,1,Ю
1997,9,7,19,755,12,752,4,ЮЗ
1997,9,8,14,744,12,742,3,Ю
1997,9,9,17,735,13,733,6,ЮЗ
1997,9,10,16,735,12,733,4,ЮЗ
1997,9,11,12,729,12,732,4,З
1997,9,12,11,741,11,744,3,СЗ
1997,9,13,18,747,14,747,3,ЮЗ
1997,9,14,21,747,16,747,4,ЮЗ
1997,9,15,13,750,11,750,2,СЗ
1997,9,16,15,752,7,753,3,З
1997,9,17,19,753,10,738,3,ЮЗ
1997,9,18,20,747,12,747,5,З
1997,9,19,16,745,8,746,4,СЗ
1997,9,20,11,747,5,747,1,С
1997,9,21,10,746,5,746,4,СЗ
1997,9,22,10,745,9,744,5,ЮЗ
1997,9,23,10,746,6,744,3,З
1997,9,24,4,737,2,739,4,СЗ
1997,9,25,6,745,2,746,1,ЮЗ
1997,9,26,3,737,3,737,5,ЮВ
1997,9,27,3,735,1,737,1,ЮЗ
1997,9,28,5,741,3,742,1,СЗ
1997,9,29,6,744,3,744,2,СВ
1997,9,30,8,739,6,738,3,ЮВ
1997,10,1,2,737,1,738,2,Ю
1997,10,2,6,738,6,738,5,Ю
1997,10,3,6,733,4,732,3,Ю
1997,10,4,6,738,3,739,3,З
1997,10,5,8,731,8,723,7,Ю
1997,10,6,5,728,5,735,6,СЗ
1997,10,7,7,738,3,743,5,СЗ
1997,10,8,6,747,-1,747,3,СЗ
1997,10,9,10,742,8,740,3,СЗ
1997,10,10,16,731,14,730,4,ЮЗ
1997,10,11,15,734,15,730,4,ЮВ
1997,10,12,14,735,9,738,5,ЮЗ
1997,10,13,12,739,9,736,9,В
1997,10,14,10,729,7,736,4,ЮЗ
1997,10,15,7,744,4,739,2,В
1997,10,16,5,741,5,742,0,Ш
1997,10,17,4,750,2,754,3,СЗ
1997,10,18,4,758,3,757,2,ЮЗ
1997,10,19,5,751,4,750,6,ЮЗ
1997,10,20,5,743,6,741,4,Ю
1997,10,21,8,739,3,739,5,ЮЗ
1997,10,22,1,744,0,747,2,З
1997,10,23,2,746,1,744,4,Ю
1997,10,24,6,741,5,740,5,ЮЗ
1997,10,25,2,739,-1,742,5,З
1997,10,26,1,746,-1,747,4,ЮЗ
1997,10,27,0,748,-1,749,5,Ю
1997,10,28,-2,753,-4,754,3,З
1997,10,29,-2,750,-1,747,3,ЮЗ
1997,10,30,-2,753,-5,741,3,С
1997,10,31,0,756,1,754,3,З
1997,11,1,2,747,2,744,4,З
1997,11,2,0,737,0,737,5,ЮЗ
1997,11,3,-1,738,-2,739,1,СЗ
1997,11,7,0,744,1,744,5,ЮЗ
1997,11,8,2,746,2,746,2,ЮЗ
1997,11,9,5,744,5,742,4,Ю
1997,11,10,8,745,5,749,4,З
1997,11,11,3,752,4,752,3,В
1997,11,12,6,750,6,750,5,Ю
1997,11,13,4,754,4,756,1,С
1997,11,14,6,755,5,755,6,Ю
1997,11,15,1,753,0,752,5,ЮВ
1997,11,16,-2,752,-2,750,2,Ю
1997,11,17,-1,747,-2,749,1,В
1997,11,18,-2,756,-6,758,3,СВ
1997,11,19,-4,757,-4,757,3,В
1997,11,20,-1,754,-4,752,3,В
1997,11,21,0,750,-1,752,2,СВ
1997,11,22,-2,759,-2,761,3,В
1997,11,23,-3,762,-3,762,4,ЮВ
1997,11,24,-2,761,-3,760,2,Ю
1997,11,25,-3,755,-1,753,3,ЮВ
1997,11,26,-1,752,0,751,3,Ю
1997,11,27,0,745,-1,746,4,ЮЗ
1997,11,28,-3,748,-4,748,4,З
1997,11,29,-6,752,-11,753,3,СЗ
1997,11,30,-10,756,-13,756,1,З
1997,12,1,-9,757,-9,759,1,В
1997,12,2,-13,759,-16,756,2,В
1997,12,3,-6,750,-6,748,5,ЮВ
1997,12,4,-5,742,-5,742,2,ЮВ
1997,12,5,-2,741,0,741,2,СВ
1997,12,6,-3,741,-3,740,2,В
1997,12,7,-3,743,-2,743,3,ЮЗ
1997,12,8,-4,745,-4,746,2,СВ
1997,12,9,-4,745,-4,745,3,С
1997,12,10,-5,744,-6,742,2,С
1997,12,11,-3,740,-4,739,1,СЗ
1997,12,12,-11,745,-14,746,2,СЗ
1997,12,13,-7,750,-8,750,3,С
1997,12,14,-19,759,-24,762,3,СВ
1997,12,15,-25,770,-28,772,4,С
1997,12,16,-27,774,-27,773,1,ЮЗ
1997,12,17,-11,756,-9,751,6,З
1997,12,18,-5,743,-5,744,3,СЗ
1997,12,19,-9,748,-7,744,1,ЮЗ
1997,12,20,-3,741,-8,745,3,СЗ
1997,12,21,-11,749,-9,751,3,З
1997,12,22,-14,758,-15,757,3,Ю
1997,12,23,-14,754,-15,753,3,Ю
1997,12,26,-2,741,0,738,4,Ю
1997,12,27,1,738,1,739,4,ЮЗ
1997,12,28,0,741,0,744,2,Ю
1997,12,29,0,747,-1,748,1,Ю
1997,12,30,0,748,0,748,2,ЮВ
1997,12,31,0,748,0,747,4,ЮВ
1998,1,1,0,748,0,750,3,ЮВ
1998,1,2,0,751,0,750,3,Ю
1998,1,3,-1,750,-1,749,4,Ю
1998,1,4,1,747,1,746,5,Ю
1998,1,5,0,745,-1,746,5,Ю
1998,1,6,-3,746,-3,745,3,Ю
1998,1,7,-1,746,-2,747,4,Ю
1998,1,8,0,743,0,741,3,Ю
1998,1,9,-1,738,-2,739,3,С
1998,1,10,-4,746,-6,750,5,С
