,year,month,day,td,pd,cloudd,precipd,wdird,wsd,tn,pn,cloudn,precipn,wdirn,wsn
74,1997,6,16,28.0,737,suncl,,ЮЗ,3,20.0,736,dull,,ЮЗ,3
75,1997,6,17,18.0,738,suncl,,ЮЗ,5,12.0,738,dull,rain,ЮЗ,5
76,1997,6,18,14.0,737,dull,,З,4,13.0,737,sunc,,З,4
77,1997,6,19,18.0,737,suncl,,З,2,16.0,737,suncl,,З,2
78,1997,6,20,14.0,738,dull,,СЗ,4,13.0,739,dull,,СЗ,4
79,1997,6,21,21.0,741,sunc,,СЗ,3,15.0,741,sunc,,СЗ,3
80,1997,6,22,22.0,744,dull,,З,1,17.0,744,dull,,З,1
81,1997,6,23,25.0,744,sunc,,Ю,3,20.0,743,sun,,Ю,3
82,1997,6,24,26.0,741,sunc,,ЮЗ,5,22.0,740,dull,,ЮЗ,5
83,1997,6,25,18.0,743,dull,rain,С,2,19.0,743,dull,,С,2
84,1997,6,26,24.0,744,suncl,,СЗ,1,20.0,744,suncl,,СЗ,1
85,1997,6,27,27.0,746,suncl,,ЮВ,2,23.0,746,dull,,ЮВ,2
86,1997,6,28,29.0,746,dull,storm,Ш,0,19.0,746,dull,,Ш,0
87,1997,6,29,24.0,745,suncl,,СЗ,3,21.0,744,sun,,СЗ,3
88,1997,6,30,22.0,744,suncl,,С,4,18.0,744,dull,,С,4
89,1997,7,1,21.0,745,suncl,,С,2,19.0,744,sun,,С,2
90,1997,7,2,24.0,747,suncl,,С,3,19.0,747,sunc,,С,3
91,1997,7,3,27.0,748,sunc,,С,3,21.0,747,sunc,,С,3
92,1997,7,4,28.0,747,dull,,СЗ,3,22.0,747,dull,,СЗ,3
93,1997,7,5,27.0,744,dull,,З,3,19.0,744,suncl,,З,3
94,1997,7,6,21.0,744,suncl,,СВ,5,16.0,746,sun,,СВ,5
95,1997,7,7,22.0,747,suncl,,В,2,15.0,747,suncl,,В,2
96,1997,7,8,20.0,746,dull,,Ю,1,17.0,744,dull,,Ю,1
97,1997,7,9,22.0,740,dull,,З,1,18.0,738,dull,storm,З,1
98,1997,7,10,18.0,736,dull,rain,СВ,3,15.0,735,dull,,СВ,3
99,1997,7,11,19.0,737,suncl,,В,2,15.0,738,dull,,В,2
100,1997,7,12,14.0,741,dull,rain,С,1,13.0,742,dull,rain,С,1
101,1997,7,13,14.0,745,dull,,С,3,13.0,746,dull,,С,3
102,1997,7,14,19.0,747,dull,,С,2,15.0,747,suncl,,С,2
103,1997,7,15,19.0,747,dull,,СВ,2,14.0,747,sunc,,СВ,2
104,1997,7,16,18.0,747,dull,,СВ,3,14.0,747,dull,,СВ,3
105,1997,7,17,18.0,747,dull,,СВ,2,16.0,747,dull,,СВ,2
106,1997,7,18,15.0,747,dull,rain,В,3,15.0,747,dull,,В,3
107,1997,7,19,18.0,749,dull,,В,3,16.0,750,suncl,,В,3
108,1997,7,20,23.0,750,suncl,,В,3,18.0,750,sunc,,В,3
109,1997,7,21,26.0,749,suncl,storm,В,4,18.0,749,sunc,,В,4
110,1997,7,22,26.0,748,sunc,,В,3,18.0,748,sun,,В,3
111,1997,7,23,25.0,749,sunc,,В,2,20.0,750,sunc,,В,2
112,1997,7,24,23.0,750,sunc,,В,2,23.0,750,sun,,В,2
113,1997,7,25,23.0,747,suncl,,В,2,15.0,746,suncl,,В,2
114,1997,7,26,21.0,745,dull,,СВ,2,18.0,744,dull,,СВ,2
115,1997,7,27,26.0,745,sun,,С,3,18.0,745,sun,,С,3
116,1997,7,28,28.0,747,suncl,,Ю,2,19.0,747,suncl,,Ю,2
117,1997,7,29,29.0,749,suncl,,З,2,23.0,749,dull,,З,2
118,1997,7,30,26.0,750,dull,,С,3,21.0,749,dull,,С,3
119,1997,7,31,30.0,745,suncl,,Ю,3,18.0,747,dull,storm,Ю,3
120,1997,8,1,24.0,744,suncl,,Ю,3,19.0,742,dull,storm,Ю,3
121,1997,8,2,22.0,743,dull,storm,З,2,18.0,743,dull,,З,2
122,1997,8,3,23.0,743,suncl,,Ю,3,18.0,743,dull,,Ю,3
123,1997,8,4,19.0,744,dull,,С,2,18.0,744,suncl,,С,2
124,1997,8,5,22.0,747,sunc,,СВ,3,16.0,747,sun,,СВ,3
125,1997,8,6,23.0,747,suncl,,С,3,15.0,748,sunc,,С,3
126,1997,8,7,20.0,750,suncl,,С,3,14.0,750,sun,,С,3
127,1997,8,8,23.0,752,suncl,,С,3,17.0,753,suncl,,С,3
128,1997,8,9,22.0,754,dull,,В,2,17.0,754,suncl,,В,2
129,1997,8,10,23.0,755,suncl,,В,1,15.0,754,sunc,,В,1
130,1997,8,11,23.0,753,dull,,ЮВ,2,15.0,753,dull,,ЮВ,2
131,1997,8,12,20.0,750,suncl,,С,3,15.0,750,sunc,,С,3
132,1997,8,13,17.0,746,sunc,,Ш,0,11.0,743,sunc,,Ш,0
133,1997,8,14,13.0,736,dull,,СЗ,1,11.0,736,dull,,СЗ,1
134,1997,8,15,11.0,736,suncl,,З,4,11.0,737,suncl,,З,4
135,1997,8,16,13.0,740,dull,,СЗ,4,11.0,741,dull,,СЗ,4
