Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2001-01-01,0,747,Ш,0,749,Ш
2001-01-02,-1,748,Ш,-2,747,Ш
2001-01-03,-4,750,В 2м/с,-3,750,В 2м/с
2001-01-04,-3,748,В 3м/с,-2,747,В 3м/с
2001-01-05,0,747,Ш,0,746,Ш
2001-01-06,0,747,З 1м/с,0,748,З 1м/с
2001-01-07,0,744,Ю 3м/с,+1,743,Ю 3м/с
2001-01-08,0,747,З 4м/с,0,748,З 4м/с
2001-01-09,0,741,ЮВ 5м/с,+1,738,ЮВ 5м/с
2001-01-10,0,734,СЗ 2м/с,0,735,СЗ 2м/с
2001-01-11,-1,738,З 4м/с,-2,738,З 4м/с
2001-01-12,-4,739,ЮЗ 2м/с,-9,740,ЮЗ 2м/с
2001-01-13,-13,743,СЗ 4м/с,-18,746,СЗ 4м/с
2001-01-14,-15,750,СЗ 3м/с,-16,751,СЗ 3м/с
2001-01-15,-2,753,З 3м/с,-2,753,З 3м/с
2001-01-16,-1,753,СЗ 3м/с,-2,752,СЗ 3м/с
2001-01-17,-1,753,СЗ 2м/с,-1,753,СЗ 2м/с
2001-01-18,-2,758,СЗ 3м/с,-2,760,СЗ 3м/с
2001-01-19,-5,762,З 3м/с,-8,761,З 3м/с
2001-01-20,-10,759,З 3м/с,-9,757,З 3м/с
2001-01-21,-4,759,З 2м/с,-6,761,З 2м/с
2001-01-22,-9,765,СЗ 1м/с,-16,765,СЗ 1м/с
2001-01-23,-14,766,З 2м/с,-17,765,З 2м/с
2001-01-24,-13,764,ЮЗ 2м/с,-17,764,ЮЗ 2м/с
2001-01-25,-11,762,ЮЗ 2м/с,-10,760,ЮЗ 2м/с
2001-01-26,-5,754,Ю 5м/с,-5,752,Ю 5м/с
2001-01-27,-2,747,Ю 3м/с,0,746,Ю 3м/с
2001-01-28,0,744,Ю 4м/с,0,744,Ю 4м/с
2001-01-29,1,744,ЮЗ 2м/с,-1,746,ЮЗ 2м/с
2001-01-30,-1,747,Ш,-2,747,Ш
2001-01-31,0,747,ЮЗ 2м/с,-2,747,ЮЗ 2м/с
2001-02-01,-2,745,СВ 4м/с,-3,743,СВ 4м/с
2001-02-02,-3,736,СВ 2м/с,0,736,СВ 2м/с
2001-02-03,-5,746,Ю 3м/с,-6,747,Ю 3м/с
2001-02-04,-4,741,Ю 8м/с,-11,747,Ю 8м/с
2001-02-05,-9,755,В 2м/с,-12,756,В 2м/с
2001-02-06,-17,759,В 3м/с,-18,759,В 3м/с
2001-02-07,-17,760,ЮВ 3м/с,-18,759,ЮВ 3м/с
2001-02-08,-7,751,Ю 5м/с,-4,751,Ю 5м/с
2001-02-09,0,748,Ю 5м/с,0,748,Ю 5м/с
2001-02-10,1,753,З 2м/с,0,754,З 2м/с
2001-02-11,-1,762,С 3м/с,-7,764,С 3м/с
2001-02-12,-8,759,Ю 5м/с,-5,752,Ю 5м/с
2001-02-13,0,740,ЮЗ 4м/с,+1,741,ЮЗ 4м/с
2001-02-14,-5,750,С 3м/с,-8,752,С 3м/с
2001-02-15,0,742,З 4м/с,0,741,З 4м/с
2001-02-16,0,735,СЗ 8м/с,-1,741,СЗ 8м/с
2001-02-17,-1,749,З 4м/с,-4,747,З 4м/с
2001-02-18,-1,739,ЮЗ 4м/с,-2,740,ЮЗ 4м/с
2001-02-19,-6,738,С 5м/с,-12,739,С 5м/с
2001-02-20,-12,738,СЗ 3м/с,-16,738,СЗ 3м/с
2001-02-21,-6,729,ЮЗ 4м/с,-5,728,ЮЗ 4м/с
2001-02-22,-4,723,В 5м/с,-2,723,В 5м/с
2001-02-23,-2,725,Ю 4м/с,-4,727,Ю 4м/с
2001-02-24,-4,730,З 4м/с,-6,732,З 4м/с
2001-02-25,-12,738,ЮЗ 3м/с,-16,739,ЮЗ 3м/с
2001-02-26,-11,746,З 3м/с,-15,747,З 3м/с
2001-02-27,-10,744,В 4м/с,-10,737,В 4м/с
2001-02-28,-7,738,З 5м/с,-7,744,З 5м/с
2001-03-01,-5,753,ЮЗ 4м/с,-8,751,ЮЗ 4м/с
2001-03-02,0,743,ЮВ 5м/с,-1,739,ЮВ 5м/с
2001-03-03,0,738,З 5м/с,0,742,З 5м/с
2001-03-04,0,740,ЮВ 5м/с,0,741,ЮВ 5м/с
2001-03-05,2,736,ЮЗ 4м/с,+2,737,ЮЗ 4м/с
2001-03-06,-1,741,СЗ 4м/с,-4,744,СЗ 4м/с
2001-03-07,0,742,ЮЗ 4м/с,-1,741,ЮЗ 4м/с
2001-03-08,-4,742,СЗ 5м/с,-6,747,СЗ 5м/с
2001-03-09,-4,755,З 4м/с,-9,756,З 4м/с
2001-03-10,-2,751,Ю 6м/с,-1,748,Ю 6м/с
2001-03-11,1,746,ЮЗ 4м/с,0,745,ЮЗ 4м/с
2001-03-12,3,744,ЮЗ 3м/с,+1,745,ЮЗ 3м/с
2001-03-13,1,745,ЮЗ 3м/с,0,745,ЮЗ 3м/с
2001-03-14,2,744,Ю 3м/с,+2,744,Ю 3м/с
2001-03-15,4,742,Ю 4м/с,+2,742,Ю 4м/с
2001-03-16,4,739,В 3м/с,+2,738,В 3м/с
2001-03-17,1,735,З 5м/с,+1,736,З 5м/с
2001-03-18,1,738,ЮЗ 3м/с,-1,738,ЮЗ 3м/с
2001-03-19,-1,740,СЗ 4м/с,-5,741,СЗ 4м/с
2001-03-20,0,741,Ю 2м/с,0,739,Ю 2м/с
2001-03-21,2,732,З 2м/с,0,730,З 2м/с
2001-03-22,-1,733,З 5м/с,-6,735,З 5м/с
2001-03-23,0,741,ЮЗ 5м/с,-4,740,ЮЗ 5м/с
2001-03-24,0,743,З 3м/с,-4,743,З 3м/с
2001-03-25,-1,744,ЮЗ 2м/с,-4,743,ЮЗ 2м/с
2001-03-26,-2,741,СВ 2м/с,-2,739,СВ 2м/с
