Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2000-01-01,-5,752,Ш,-10,753,Ш
2000-01-02,-7,752,В 1м/с,-8,752,В 1м/с
2000-01-03,-12,750,Ш,-15,750,Ш
2000-01-04,-7,747,Ю 4м/с,-5,745,Ю 4м/с
2000-01-05,0,742,ЮЗ 3м/с,0,744,ЮЗ 3м/с
2000-01-06,0,749,З 3м/с,0,750,З 3м/с
2000-01-07,-5,750,ЮЗ 3м/с,-7,749,ЮЗ 3м/с
2000-01-08,0,749,ЮЗ 4м/с,-1,749,ЮЗ 4м/с
2000-01-09,0,750,З 3м/с,0,751,З 3м/с
2000-01-10,1,751,З 3м/с,0,751,З 3м/с
2000-01-11,0,756,З 3м/с,0,756,З 3м/с
2000-01-12,-1,758,З 3м/с,-1,757,З 3м/с
2000-01-13,-1,754,ЮЗ 4м/с,-3,753,ЮЗ 4м/с
2000-01-14,-4,753,З 3м/с,-5,754,З 3м/с
2000-01-15,-5,753,ЮЗ 2м/с,-8,751,ЮЗ 2м/с
2000-01-16,-10,749,З 3м/с,-8,746,З 3м/с
2000-01-17,-7,729,ЮЗ 6м/с,-7,727,ЮЗ 6м/с
2000-01-18,-4,724,Ю 3м/с,-3,725,Ю 3м/с
2000-01-19,-3,728,Ю 2м/с,-3,729,Ю 2м/с
2000-01-20,-10,727,СЗ 4м/с,-13,727,СЗ 4м/с
2000-01-21,-11,724,ЮВ 2м/с,-12,724,ЮВ 2м/с
2000-01-22,-18,732,ЮЗ 1м/с,-23,733,ЮЗ 1м/с
2000-01-23,-17,739,ЮЗ 2м/с,-19,741,ЮЗ 2м/с
2000-01-24,-16,747,Ш,-21,747,Ш
2000-01-25,-17,738,С 2м/с,-20,738,С 2м/с
2000-01-26,-18,739,З 2м/с,-21,741,З 2м/с
2000-01-27,-13,735,ЮЗ 5м/с,-9,738,ЮЗ 5м/с
2000-01-28,-3,737,Ю 6м/с,0,735,Ю 6м/с
2000-01-29,0,741,ЮЗ 2м/с,-3,743,ЮЗ 2м/с
2000-01-30,0,738,Ю 7м/с,-1,735,Ю 7м/с
2000-01-31,0,732,ЮЗ 3м/с,-4,735,ЮЗ 3м/с
2000-02-01,-7,741,ЮЗ 2м/с,-10,741,ЮЗ 2м/с
2000-02-02,-3,735,Ю 6м/с,-1,730,Ю 6м/с
2000-02-03,2,729,ЮЗ 3м/с,-1,729,ЮЗ 3м/с
2000-02-04,-6,744,СЗ 4м/с,-11,744,СЗ 4м/с
2000-02-05,-3,732,ЮЗ 3м/с,-3,733,ЮЗ 3м/с
2000-02-06,-2,744,СЗ 3м/с,-4,745,СЗ 3м/с
2000-02-07,0,742,З 2м/с,+1,743,З 2м/с
2000-02-08,1,740,ЮЗ 3м/с,+1,738,ЮЗ 3м/с
2000-02-09,1,733,ЮЗ 2м/с,+1,736,ЮЗ 2м/с
2000-02-10,0,742,ЮЗ 2м/с,+1,743,ЮЗ 2м/с
2000-02-11,0,747,З 4м/с,0,748,З 4м/с
2000-02-12,1,748,З 4м/с,0,749,З 4м/с
2000-02-13,1,749,З 2м/с,0,748,З 2м/с
2000-02-14,0,745,ЮЗ 3м/с,-1,745,ЮЗ 3м/с
2000-02-15,0,743,ЮЗ 2м/с,-2,743,ЮЗ 2м/с
2000-02-16,0,745,ЮЗ 2м/с,-4,745,ЮЗ 2м/с
2000-02-17,-4,748,ЮЗ 4м/с,-5,750,ЮЗ 4м/с
2000-02-18,-2,750,Ю 5м/с,-1,748,Ю 5м/с
2000-02-19,0,745,Ю 5м/с,0,745,Ю 5м/с
2000-02-20,1,746,ЮВ 5м/с,0,746,ЮВ 5м/с
2000-02-21,0,743,Ю 5м/с,-1,744,Ю 5м/с
2000-02-22,-1,744,С 1м/с,-3,742,С 1м/с
2000-02-23,-7,742,З 3м/с,-9,744,З 3м/с
2000-02-24,-9,742,СЗ 4м/с,-11,744,СЗ 4м/с
2000-02-25,-8,743,ЮЗ 3м/с,-14,744,ЮЗ 3м/с
2000-02-26,-8,745,З 2м/с,-14,745,З 2м/с
2000-02-27,-10,753,СЗ 3м/с,-14,756,СЗ 3м/с
2000-02-28,-2,750,ЮЗ 7м/с,0,748,ЮЗ 7м/с
2000-02-29,2,744,ЮЗ 5м/с,0,747,ЮЗ 5м/с
2000-03-01,1,748,Ю 3м/с,0,746,Ю 3м/с
2000-03-02,1,747,Ю 5м/с,0,747,Ю 5м/с
2000-03-04,1,742,Ю 6м/с,+1,741,Ю 6м/с
2000-03-05,1,741,ЮЗ 1м/с,0,741,ЮЗ 1м/с
2000-03-06,0,746,З 3м/с,-4,747,З 3м/с
2000-03-08,3,732,З 4м/с,-2,734,З 4м/с
2000-03-09,0,727,Ю 5м/с,+1,721,Ю 5м/с
2000-03-10,-2,729,СЗ 4м/с,-6,733,СЗ 4м/с
2000-03-11,-2,737,З 4м/с,-4,740,З 4м/с
2000-03-12,-2,743,ЮЗ 4м/с,0,744,ЮЗ 4м/с
2000-03-13,-2,750,СЗ 2м/с,-8,752,СЗ 2м/с
2000-03-14,-1,753,Ю 4м/с,-4,750,Ю 4м/с
2000-03-15,0,746,Ю 6м/с,0,746,Ю 6м/с
2000-03-16,0,743,Ю 6м/с,-1,742,Ю 6м/с
2000-03-17,0,742,ЮЗ 3м/с,-2,746,ЮЗ 3м/с
2000-03-18,0,748,С 3м/с,0,749,С 3м/с
2000-03-19,3,750,В 5м/с,+1,750,В 5м/с
2000-03-25,2,742,СЗ 5м/с,-1,744,СЗ 5м/с
2000-03-26,1,744,ЮЗ 5м/с,-1,746,ЮЗ 5м/с
2000-03-27,1,751,З 2м/с,-2,751,З 2м/с
2000-03-28,2,756,Ю 2м/с,-3,756,Ю 2м/с
2000-03-29,1,758,Ш,-3,757,Ш
2000-03-30,1,753,ЮЗ 4м/с,-1,750,ЮЗ 4м/с
2000-03-31,2,748,ЮЗ 4м/с,+1,747,ЮЗ 4м/с
2000-04-01,2,742,Ю 4м/с,+2,742,Ю 4м/с
2000-04-02,8,747,ЮЗ 3м/с,+3,747,ЮЗ 3м/с
2000-04-03,5,741,ЮВ 3м/с,+3,738,ЮВ 3м/с
2000-04-04,2,743,СЗ 3м/с,+2,747,СЗ 3м/с
2000-04-05,2,750,ЮВ 3м/с,0,748,ЮВ 3м/с
2000-04-06,8,744,Ю 5м/с,+3,743,Ю 5м/с
2000-04-07,11,741,ЮВ 5м/с,+8,742,ЮВ 5м/с
2000-04-08,13,745,В 1м/с,+9,746,В 1м/с
2000-04-09,10,749,ЮВ 1м/с,+6,749,ЮВ 1м/с
2000-04-10,14,748,В 2м/с,+9,747,В 2м/с
2000-04-11,15,744,СВ 3м/с,+10,743,СВ 3м/с
2000-04-12,15,741,С 3м/с,+10,741,С 3м/с
2000-04-13,17,742,ЮЗ 1м/с,+12,743,ЮЗ 1м/с
2000-04-14,19,744,З 4м/с,+14,743,З 4м/с
2000-04-15,20,745,ЮЗ 6м/с,+15,744,ЮЗ 6м/с
2000-04-16,19,747,З 2м/с,+17,747,З 2м/с
2000-04-17,19,747,Ю 4м/с,+14,747,Ю 4м/с
2000-04-18,16,749,ЮВ 3м/с,+13,749,ЮВ 3м/с
2000-04-19,14,749,В 1м/с,+12,748,В 1м/с
2000-04-20,19,748,ЮВ 2м/с,+14,749,ЮВ 2м/с
2000-04-21,20,748,В 3м/с,+16,744,В 3м/с
2000-04-22,21,744,В 4м/с,+13,744,В 4м/с
2000-04-23,13,744,СВ 3м/с,+13,746,СВ 3м/с
2000-04-24,19,750,В 2м/с,+14,750,В 2м/с
2000-04-25,23,751,В 2м/с,+15,750,В 2м/с
2000-04-26,21,748,Ю 4м/с,+16,747,Ю 4м/с
2000-04-27,20,747,С 2м/с,+17,749,С 2м/с
2000-04-28,16,754,С 3м/с,+11,753,С 3м/с
2000-04-29,14,751,ЮЗ 1м/с,+10,747,ЮЗ 1м/с
2000-04-30,9,744,С 6м/с,+4,746,С 6м/с
2000-05-01,1,743,С 5м/с,+3,743,С 5м/с
2000-05-02,5,747,С 5м/с,+4,748,С 5м/с
2000-05-03,10,749,С 3м/с,+6,748,С 3м/с
2000-05-04,10,747,СЗ 3м/с,+6,746,СЗ 3м/с
2000-05-05,12,748,З 2м/с,+7,747,З 2м/с
2000-05-06,13,744,ЮЗ 3м/с,+9,742,ЮЗ 3м/с
2000-05-07,12,746,С 5м/с,+7,749,С 5м/с
2000-05-08,13,750,С 3м/с,+7,747,С 3м/с
2000-05-09,13,744,С 6м/с,+7,746,С 6м/с
2000-05-10,13,746,С 4м/с,+7,747,С 4м/с
2000-05-11,18,741,ЮЗ 3м/с,+14,736,ЮЗ 3м/с
2000-05-12,7,730,СЗ 5м/с,+3,732,СЗ 5м/с
2000-05-13,2,738,СЗ 6м/с,+2,738,СЗ 6м/с
2000-05-14,4,739,СЗ 4м/с,+1,741,СЗ 4м/с
2000-05-15,10,742,СЗ 4м/с,+10,739,СЗ 4м/с
2000-05-16,4,744,С 4м/с,+3,746,С 4м/с
2000-05-17,9,745,С 4м/с,+7,744,С 4м/с
2000-05-18,10,744,С 4м/с,+5,744,С 4м/с
2000-05-19,11,745,С 3м/с,+6,744,С 3м/с
2000-05-20,17,744,З 2м/с,+10,743,З 2м/с
2000-05-21,19,744,Ю 2м/с,+14,744,Ю 2м/с
2000-05-22,16,743,Ю 5м/с,+12,744,Ю 5м/с
2000-05-23,20,744,ЮВ 2м/с,+16,745,ЮВ 2м/с
2000-05-24,20,745,С 2м/с,+14,746,С 2м/с
2000-05-25,17,747,Ш,+14,747,Ш
2000-05-26,24,748,З 2м/с,+18,747,З 2м/с
2000-05-27,23,749,З 4м/с,+15,749,З 4м/с
2000-05-28,24,750,СЗ 3м/с,+16,749,СЗ 3м/с
2000-05-29,28,747,Ю 1м/с,+21,747,Ю 1м/с
2000-05-30,29,747,ЮВ 3м/с,+23,745,ЮВ 3м/с
2000-05-31,28,746,Ю 5м/с,+22,745,Ю 5м/с
2000-06-01,21,746,Ю 4м/с,+16,747,Ю 4м/с
2000-06-02,11,750,С 3м/с,+12,750,С 3м/с
2000-06-03,20,750,С 1м/с,+15,750,С 1м/с
2000-06-04,24,745,ЮЗ 4м/с,+19,745,ЮЗ 4м/с
2000-06-05,19,747,З 4м/с,+16,745,З 4м/с
2000-06-06,20,745,З 2м/с,+16,745,З 2м/с
2000-06-07,18,747,Ш,+16,746,Ш
2000-06-08,16,741,Ю 3м/с,+13,742,Ю 3м/с
2000-06-09,16,741,СЗ 4м/с,+11,741,СЗ 4м/с
2000-06-10,15,746,С 6м/с,+13,748,С 6м/с
2000-06-11,18,751,С 3м/с,+14,750,С 3м/с
2000-06-12,25,749,ЮЗ 3м/с,+21,746,ЮЗ 3м/с
2000-06-13,15,744,С 4м/с,+14,745,С 4м/с
2000-06-14,24,744,СЗ 4м/с,+21,743,СЗ 4м/с
2000-06-15,21,739,СЗ 3м/с,+17,739,СЗ 3м/с
2000-06-16,20,738,Ш,+11,738,Ш
2000-06-17,17,741,З 2м/с,+13,742,З 2м/с
