Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
2013-01-01,-3,748,Ю 2м/с,-3,749,Ю 2м/с
2013-01-02,-2,748,Ю 3м/с,-6,748,Ю 3м/с
2013-01-03,-2,744,ЮЗ 3м/с,-2,742,ЮЗ 3м/с
2013-01-04,0,741,ЮЗ 2м/с,-1,742,ЮЗ 2м/с
2013-01-05,-1,740,СВ 1м/с,-2,740,СВ 1м/с
2013-01-06,-2,740,С 3м/с,-3,741,С 3м/с
2013-01-07,-3,747,С 2м/с,-4,749,С 2м/с
2013-01-08,-5,751,С 2м/с,-7,751,С 2м/с
2013-01-09,-10,749,С 1м/с,-10,748,С 1м/с
2013-01-10,-12,746,Ю 2м/с,-15,745,Ю 2м/с
2013-01-11,-10,745,ЮВ 2м/с,-10,746,ЮВ 2м/с
2013-01-12,-10,750,С 2м/с,-14,750,С 2м/с
2013-01-13,-9,748,З 3м/с,-10,749,З 3м/с
2013-01-14,-7,752,З 2м/с,-6,751,З 2м/с
2013-01-15,-8,752,З 3м/с,-12,752,З 3м/с
2013-01-16,-7,747,ЮВ 1м/с,-7,746,ЮВ 1м/с
2013-01-17,-7,744,В 3м/с,-8,745,В 3м/с
2013-01-18,-7,743,В 2м/с,-8,743,В 2м/с
2013-01-19,-9,743,Ш,-14,743,Ш
2013-01-20,-7,738,СВ 1м/с,-7,737,СВ 1м/с
2013-01-21,-7,737,З 3м/с,-14,739,З 3м/с
2013-01-22,-14,743,З 2м/с,-19,743,З 2м/с
2013-01-23,-14,742,Ю 2м/с,-18,742,Ю 2м/с
2013-01-24,-13,741,ЮЗ 2м/с,-15,742,ЮЗ 2м/с
2013-01-25,-10,747,СЗ 2м/с,-17,749,СЗ 2м/с
2013-01-26,-15,755,ЮЗ 2м/с,-18,755,ЮЗ 2м/с
2013-01-27,-12,757,Ю 1м/с,-16,756,Ю 1м/с
2013-01-28,-10,753,Ю 3м/с,-7,753,Ю 3м/с
2013-01-29,-8,750,Ю 2м/с,-7,749,Ю 2м/с
2013-01-30,-6,749,Ю 3м/с,-8,748,Ю 3м/с
2013-01-31,-5,742,ЮВ 4м/с,-5,740,ЮВ 4м/с
2013-02-01,-3,736,Ю 4м/с,-3,736,Ю 4м/с
2013-02-02,1,741,Ю 3м/с,+1,743,Ю 3м/с
2013-02-03,0,741,ЮВ 5м/с,+1,739,ЮВ 5м/с
2013-02-04,1,728,Ю 4м/с,-2,732,Ю 4м/с
2013-02-05,-2,740,Ю 4м/с,-2,740,Ю 4м/с
2013-02-06,0,746,Ю 4м/с,0,747,Ю 4м/с
2013-02-07,-2,750,ЮВ 3м/с,-3,751,ЮВ 3м/с
2013-02-08,-3,752,ЮВ 4м/с,-4,754,ЮВ 4м/с
2013-02-09,0,754,ЮВ 4м/с,-1,752,ЮВ 4м/с
2013-02-10,1,752,ЮВ 4м/с,+1,753,ЮВ 4м/с
2013-02-11,1,754,ЮВ 1м/с,0,755,ЮВ 1м/с
2013-02-12,-2,754,В 2м/с,-4,755,В 2м/с
2013-02-13,-2,759,СВ 1м/с,-8,759,СВ 1м/с
2013-02-14,-5,759,В 2м/с,-9,758,В 2м/с
2013-02-15,-5,754,В 2м/с,-6,754,В 2м/с
2013-02-16,-4,752,С 3м/с,-7,752,С 3м/с
2013-02-17,-6,749,С 2м/с,-10,749,С 2м/с
2013-02-18,-7,746,СЗ 2м/с,-11,746,СЗ 2м/с
2013-02-19,-10,747,ЮЗ 2м/с,-14,748,ЮЗ 2м/с
2013-02-20,-8,751,З 1м/с,-14,752,З 1м/с
2013-02-21,-9,754,ЮЗ 2м/с,-14,754,ЮЗ 2м/с
2013-02-22,-8,754,ЮЗ 2м/с,-13,755,ЮЗ 2м/с
2013-02-23,-6,759,З 2м/с,-12,760,З 2м/с
2013-02-24,-2,760,З 2м/с,-8,761,З 2м/с
2013-02-25,1,762,З 3м/с,-4,762,З 3м/с
2013-02-26,0,758,ЮЗ 2м/с,-4,755,ЮЗ 2м/с
2013-02-27,2,748,СЗ 3м/с,-3,750,СЗ 3м/с
2013-02-28,2,737,З 4м/с,+2,737,З 4м/с
2013-03-01,1,729,ЮЗ 4м/с,0,728,ЮЗ 4м/с
2013-03-02,-9,739,С 3м/с,-10,742,С 3м/с
2013-03-03,-9,740,ЮВ 2м/с,-10,738,ЮВ 2м/с
2013-03-04,-5,742,СВ 4м/с,-9,747,СВ 4м/с
2013-03-05,-9,754,З 2м/с,-16,754,З 2м/с
2013-03-06,-8,750,Ю 5м/с,-6,744,Ю 5м/с
2013-03-07,2,738,З 4м/с,-3,741,З 4м/с
2013-03-08,-7,749,С 5м/с,-11,752,С 5м/с
2013-03-09,-7,750,Ю 2м/с,-11,748,Ю 2м/с
2013-03-10,-5,743,СЗ 2м/с,-8,744,СЗ 2м/с
2013-03-11,-5,745,В 2м/с,-8,743,В 2м/с
2013-03-12,-4,743,С 2м/с,-10,743,С 2м/с
2013-03-13,-7,742,ЮВ 2м/с,-8,743,ЮВ 2м/с
2013-03-14,-2,744,Ю 5м/с,-3,744,Ю 5м/с
2013-03-15,3,737,ЮВ 5м/с,+3,734,ЮВ 5м/с
2013-03-16,5,735,Ю 5м/с,-1,738,Ю 5м/с
